?rea de Conhecimento,Sigla,Habilidade,Descri??o,,ID,nome,Sigla
1,LC,H1,Identificar as diferentes linguagens e seus recursos expressivos como elementos de caracteriza??o dos sistemas de comunica??o.,,1,"Linguagens, C?digos e suas Tecnologias",LC
1,LC,H2,Recorrer aos conhecimentos sobre as linguagens dos sistemas de comunica??o e informa??o para resolver problemas sociais.,,2,Matem?tica e suas Tecnologias,MT
1,LC,H3,"Relacionar informa??es geradas nos sistemas de comunica??o e informa??o, considerando a fun??o social desses sistemas.",,3,Ci?ncias da Natureza e suas Tecnologias,CN
1,LC,H4,Reconhecer posi??es cr?ticas aos usos sociais que s?o feitos das linguagens e dos sistemas de comunica??o e informa??o.,,4,Ci?ncias Humanas e suas Tecnologias,CH
1,LC,H5,Associar voc?bulos e express?es de um texto em LEM ao seu tema.,,,,
1,LC,H6,"Utilizar os conhecimentos da LEM e de seus mecanismos como meio de ampliar as possibilidades de acesso a informa??es, tecnologias e culturas.",,,,
1,LC,H7,"Relacionar um texto em LEM, as estruturas lingu?sticas, sua fun??o e seu uso social.",,,,
1,LC,H8,Reconhecer a import?ncia da produ??o cultural em LEM como representa??o da diversidade cultural e lingu?stica.,,,,
1,LC,H9,Reconhecer as manifesta??es corporais de movimento como origin?rias de necessidades cotidianas de um grupo social.,,,,
1,LC,H10,Reconhecer a necessidade de transforma??o de h?bitos corporais em fun??o das necessidades cinest?sicas.,,,,
1,LC,H11,"Reconhecer a linguagem corporal como meio de intera??o social, considerando os limites de desempenho e as alternativas de adapta??o para diferentes indiv?duos.",,,,
1,LC,H12,"Reconhecer diferentes fun??es da arte, do trabalho da produ??o dos artistas em seus meios culturais.",,,,
1,LC,H13,"Analisar as diversas produ??es art?sticas como meio de explicar diferentes culturas, padr?es de beleza e preconceitos.",,,,
1,LC,H14,Reconhecer o valor da diversidade art?stica e das inter-rela??es de elementos que se apresentam nas manifesta??es de v?rios grupos sociais e ?tnicos.,,,,
1,LC,H15,"Estabelecer rela??es entre o texto liter?rio e o momento de sua produ??o, situando aspectos do contexto hist?rico, social e pol?tico.",,,,
1,LC,H16,Relacionar informa??es sobre concep??es art?sticas e procedimentos de constru??o do texto liter?rio.,,,,
1,LC,H17,Reconhecer a presen?a de valores sociais e humanos atualiz?veis e permanentes no patrim?nio liter?rio nacional.,,,,
1,LC,H18,Identificar os elementos que concorrem para a progress?o tem?tica e para a organiza??o e estrutura??o de textos de diferentes g?neros e tipos.,,,,
1,LC,H19,Analisar a fun??o da linguagem predominante nos textos em situa??es espec?ficas de interlocu??o.,,,,
1,LC,H20,Reconhecer a import?ncia do patrim?nio lingu?stico para a preserva??o da mem?ria e da identidade nacional.,,,,
1,LC,H21,"Reconhecer em textos de diferentes g?neros, recursos verbais e n?o-verbais utilizados com a finalidade de criar e mudar comportamentos e h?bitos.",,,,
1,LC,H22,"Relacionar, em diferentes textos, opini?es, temas, assuntos e recursos lingu?sticos.",,,,
1,LC,H23,"Inferir em um texto quais s?o os objetivos de seu produtor e quem ? seu p?blico alvo, pela an?lise dos procedimentos argumentativos utilizados.",,,,
